"번호","개방서비스명","개방자치단체코드","인허가일자","영업상태명","폐업일자","소재지면적","사업장명","업태구분명","시설총규모","주소","시도"
399557,"휴게음식점",3560000,20211214,"영업/정상",NA,"424.46","스타벅스 인천공촌DT점","커피숍",424.46,"인천광역시 서구 경명대로694번길 2, 1~2층 (공촌동)","인천광역시"
399570,"휴게음식점",4680000,20211214,"영업/정상",NA,"398.07","스타벅스 익산동산DT점","커피숍",398.07,"전라북도 익산시 평동로 722, 1층~2층 (동산동)","전라북도"
399617,"휴게음식점",4040000,20211230,"영업/정상",NA,"388.23","스타벅스 하남시청역점","커피숍",388.23,"경기도 하남시 하남대로 808, 주원빌딩 1~2층 (신장동)","경기도"
399619,"휴게음식점",5670000,20211230,"영업/정상",NA,"503.92","스타벅스 마산봉암로DT점","커피숍",503.92,"경상남도 창원시 마산회원구 봉양로 118, 1,2층 (봉암동)","경상남도"
399880,"휴게음식점",3660000,20220106,"영업/정상",NA,"213.68","스타벅스 둔산삼성프라자점","커피숍",213.68,"대전광역시 서구 대덕대로 254, 삼성전자 메가스토어 대전본점 주1동 1층 일부호 (둔산동)","대전광역시"
400081,"휴게음식점",3210000,20220106,"영업/정상",NA,"142.80","스타벅스 반포자이점","커피숍",142.8,"서울특별시 서초구 잠원로 24, 1층 112호 (반포동)","서울특별시"
400523,"휴게음식점",4190000,20220111,"영업/정상",NA,".00","스타벅스 원주단구DT점","커피숍",0,"강원도 원주시 서원대로 443, 1,2층 (단구동)","강원도"
400781,"휴게음식점",3740000,20220111,"영업/정상",NA,"224.00","스타벅스 수원롯데백화점2F점","커피숍",224,"경기도 수원시 권선구 세화로 134, 롯데몰 수원점 2층 (서둔동)","경기도"
400913,"휴게음식점",3990000,20220105,"영업/정상",NA,"1,229.60","스타벅스 더북한강R","커피숍",1229.6,"경기도 남양주시 화도읍 북한강로 1098, 1~3층 및 옥탑층","경기도"
401113,"휴게음식점",3660000,20211213,"영업/정상",NA,"","스타벅스 대전갈마DT점","커피숍",0,"대전광역시 서구 계룡로 384, 1,2층 (갈마동)","대전광역시"
401116,"휴게음식점",5050000,20211213,"영업/정상",NA,"313.35","스타벅스 경주용강DT","커피숍",313.35,"경상북도 경주시 산업로 4350, 1,2층 (용강동)","경상북도"
401168,"휴게음식점",5670000,20211213,"영업/정상",NA,"277.70","스타벅스 진해장천점","커피숍",277.7,"경상남도 창원시 진해구 충장로 662, 1층 108.109.110.111호 (장천동)","경상남도"
401446,"휴게음식점",4600000,20220103,"영업/정상",NA,"282.90","스타벅스 충남도청점","커피숍",282.9,"충청남도 홍성군 홍북읍 청사로150번길 24, 108~111호","충청남도"
401472,"휴게음식점",4230000,20211221,"영업/정상",NA,"428.03","스타벅스속초교동디티점","커피숍",428.03,"강원도 속초시 청대로 339, 1~2층 (교동)","강원도"
401987,"휴게음식점",3540000,20211223,"영업/정상",NA,"364.00","스타벅스 인천성모병원점","커피숍",364,"인천광역시 부평구 동수로 56, 가톨릭대학교인천성모병원 4동 지하1층 일부호 (부평동)","인천광역시"
402251,"휴게음식점",5530000,20220118,"영업/정상",NA,"310.59","스타벅스 동탄IX타워점","커피숍",310.59,"경기도 화성시 동탄첨단산업1로 27, 금강펜테리움 IX타워 근린생활시설 C동 1층 M8, M9, M10, M11호 (영천동)","경기도"
402322,"휴게음식점",3780000,20220121,"영업/정상",NA,"465.49","스타벅스 성남모란DT점","커피숍",465.49,"경기도 성남시 중원구 둔촌대로 131, 1층,2층 (성남동)","경기도"
402420,"휴게음식점",3260000,20220117,"영업/정상",NA,"348.44","스타벅스 동아대병원점","커피숍",348.44,"부산광역시 서구 동대로 8, 1,2층 (동대신동3가)","부산광역시"
402507,"휴게음식점",3910000,20220118,"영업/정상",NA,"300.03","스타벅스평택고덕점","커피숍",300.03,"경기도 평택시 고덕여염9길 38, 고덕지구 VIEW FIVE 오피스텔 1층 107호,108호,108-A호,109호,110호,111-A호 (고덕동)","경기도"
402781,"휴게음식점",3040000,20220120,"영업/정상",NA,"191.80","스타벅스건대후문","커피숍",191.8,"서울특별시 광진구 능동로 172, 빌리브 인테라스 지하1층 b2~b6호 (화양동)","서울특별시"
402874,"휴게음식점",4050000,20220104,"영업/정상",NA,"549.99","스타벅스 한국민속촌DT점","커피숍",549.99,"경기도 용인시 기흥구 사은로 110, 1,2층 (보라동)","경기도"
403627,"휴게음식점",3590000,20200401,"영업/정상",NA,"451.33","스타벅스광주지원DT점","커피숍",451.33,"광주광역시 동구 남문로 529, 1-2층 (용산동)","광주광역시"
403718,"휴게음식점",4010000,20200402,"영업/정상",NA,"342.54","스타벅스시흥대야동점","커피숍",342.54,"경기도 시흥시 비둘기공원7길 51, 대명프라자 103,104호 (대야동)","경기도"
403806,"휴게음식점",4030000,20200115,"영업/정상",NA,"427.17","스타벅스 의왕청계DT점","커피숍",427.17,"경기도 의왕시 안양판교로 246, 스타벅스 1,2층 (청계동)","경기도"
403807,"휴게음식점",3830000,20200115,"영업/정상",NA,"377.50","스타벅스 평촌역DT점","커피숍",377.5,"경기도 안양시 동안구 시민대로 373, 1,2층 (관양동)","경기도"
403816,"휴게음식점",3620000,20200325,"영업/정상",NA,"366.34","스타벅스광주오치점","커피숍",366.34,"광주광역시 북구 설죽로 314, 1,2층 (오치동)","광주광역시"
404178,"휴게음식점",5710000,20200120,"영업/정상",NA,"99.33","스타벅스 청주이마트점","커피숍",99.33,"충청북도 청주시 서원구 청남로 1853, 이.마트 지하2층 (미평동)","충청북도"
404237,"휴게음식점",4520000,20200304,"영업/정상",NA,"466.23","스타벅스 아산방축DT점","커피숍",466.23,"충청남도 아산시 온천대로 1392, 1층,2층 (방축동)","충청남도"
