"번호","개방서비스명","개방자치단체코드","인허가일자","영업상태명","폐업일자","소재지면적","사업장명","업태구분명","시설총규모","주소","시도"
456112,"휴게음식점",4810000,20121012,"영업/정상",NA,"181.18","투썸플레이스여수이마트점","커피숍",181.18,"전라남도 여수시 좌수영로 277 (오림동, 2동)","전라남도"
456118,"휴게음식점",4810000,20160302,"영업/정상",NA,"166.66","투썸플레이스 여수해양공원점","커피숍",166.66,"전라남도 여수시 이순신광장로 175, 1층 (종화동)","전라남도"
456250,"휴게음식점",4810000,20180605,"영업/정상",NA,"127.80","투썸플레이스 수정점","커피숍",127.8,"전라남도 여수시 오동도로 61-13, 1층 (수정동)","전라남도"
456252,"휴게음식점",4810000,20180601,"영업/정상",NA,"382.08","투썸플레이스여수여서점","커피숍",382.08,"전라남도 여수시 여서동1길 38 (여서동)","전라남도"
456259,"휴게음식점",4810000,20180517,"영업/정상",NA,"372.88","투썸플레이스 여수덕충점","커피숍",372.88,"전라남도 여수시 덕충안길 92, 지하1~지상1층층 101,102,103호 (덕충동)","전라남도"
456272,"휴게음식점",4810000,20140128,"영업/정상",NA,"228.04","투썸플레이스여수웅천점","커피숍",228.04,"전라남도 여수시 예울마루로 35-14 (웅천동)","전라남도"
456650,"휴게음식점",5370000,20150721,"영업/정상",NA,"45.16","투썸플레이스(거제디큐브점)","커피숍",151.68,"경상남도 거제시 장평로 12, 디큐브백화점 6층 6-005, 6-006호 (장평동)","경상남도"
456653,"휴게음식점",5370000,20140113,"영업/정상",NA,"192.00","투썸플레이스(거제대명점)","커피숍",192,"경상남도 거제시 일운면 소동6길 15, 1층 103호","경상남도"
456663,"휴게음식점",5370000,20130701,"영업/정상",NA,"172.87","투썸플레이스 거제고현점","커피숍",172.87,"경상남도 거제시 거제중앙로29길 6, 1층 (고현동)","경상남도"
456809,"휴게음식점",5370000,20141028,"영업/정상",NA,"246.72","투썸플레이스(거제아주점)","커피숍",246.72,"경상남도 거제시 아주1로2길 58, 1층 (아주동)","경상남도"
456835,"휴게음식점",5370000,20140306,"영업/정상",NA,"118.11","투썸플레이스(수월점)","커피숍",118.11,"경상남도 거제시 수양로 486, 1층 (양정동, 라움빌딩)","경상남도"
456856,"휴게음식점",5370000,20131230,"영업/정상",NA,"118.60","투썸플레이스(바람의언덕점)","커피숍",118.6,"경상남도 거제시 남부면 도장포1길 62 (2층)","경상남도"
457070,"휴게음식점",5310000,20120717,"영업/정상",NA,"427.08","투썸플레이스(경상대점)","커피숍",427.08,"경상남도 진주시 진주대로 504 (가좌동, 1층일부,2층)","경상남도"
457397,"휴게음식점",3250000,20141212,"영업/정상",NA,"91.78","투썸플레이스 크라운하버호텔 부산점","커피숍",91.78,"부산광역시 중구 중앙대로 114, 1층 (중앙동4가, 크라운하버호텔)","부산광역시"
457528,"휴게음식점",3250000,20121211,"영업/정상",NA,"109.58","투썸플레이스(CJ대한통운점)","커피숍",109.58,"부산광역시 중구 대교로 119, 1층 (중앙동6가, 씨제이대한통운빌딩)","부산광역시"
457603,"휴게음식점",3670000,20170411,"영업/정상",NA,"203.94","투썸플레이스 노은3지구점","커피숍",203.94,"대전광역시 유성구 반석로 51, 지상1층 101호 (반석동)","대전광역시"
457659,"휴게음식점",3680000,20140915,"영업/정상",NA,"212.48","투썸플레이스신탄진IC점","커피숍",212.48,"대전광역시 대덕구 덕암로 178, 1층 (평촌동)","대전광역시"
